product_id,product_name,price,image,description
0001,s_a t__i cà phê,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647450/Day%20dream/cafe3_lrtfan.png,good
0002,B_c x_u, 25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647440/Day%20dream/cafe_piapyr.jpg,good
0003,Cà phê Latte,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647440/Day%20dream/cafe5_fefmzb.jpg,good
0004,Cà phê s_a,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647440/Day%20dream/cafe4_pwaems.jpg,good
0005,Cà phê _en,20.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647440/Day%20dream/cafe2_sxa4bz.webp,good
0006,Americano,20.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665647440/Day%20dream/cafe6_lbumg9.webp,good
0007,Trà _ào,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642077/Day%20dream/TRASUA8_cckgrm.jpg,good
0008,Trà chanh,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642077/Day%20dream/TRASUA8_cckgrm.jpg,good
0009,Trà dâu,20.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642076/Day%20dream/TRASUA4_inkdaj.jpg,good
0010,Trà sen,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642077/Day%20dream/TRASUA9_kjcdt1.jpg,good
0011,Trà bí _ao,25.000, https://res.cloudinary.com/dlux9nebf/image/upload/v1665642076/Day%20dream/TRASUA7_hcmaxb.jpg,good
0012,Trà chanh dây,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642076/Day%20dream/TRASUA6_qobo37.jpg,good
0013,Trà hoa __u bi_c,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665642076/Day%20dream/TRASUA5_hs21mv.jpg,good
0014,Trà _i h_ng,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665643978/Day%20dream/TRA8_w0zehd.jpg,good
0015,Trà xanh,20.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665643978/Day%20dream/TRA9_tzcs0e.jpg,good
0016,Trà s_a trân châu tr_ng,30.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665649183/Day%20dream/DSC02750-101_zpgplj.png,good
0017,Trà s_a thái lan,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665644756/Day%20dream/TRASUA3_w0awhv.png,good
0018,Trà s_a xanh thái,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665644756/Day%20dream/TRASUA2_mhcd4o.png,good
0019,Trà s_a khoai môn,30.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665644757/Day%20dream/TRASUA4_cvzmnq.png,good
0020,Trà s_a Daydream,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665644756/Day%20dream/TRASUA1_mwemr0.png,good
0021,Trà s_a hoa h_ng,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665644761/Day%20dream/TRASUA8_f9kcxb.png,good
0022,Socola _á xay,35.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646398/Day%20dream/daxay3_on3cpe.png,good
0023,Mocha _á xay,35.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646402/Day%20dream/daxay6_e8tvw5.png,good
0024,Matcha _á xay,25.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646397/Day%20dream/daxay4_rkek6q.png,good
0025,S_a t__i _á xay,30.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646397/Day%20dream/daxay5_gnpitf.png,good
0026,Khoai môn _á xay,35.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646398/Day%20dream/daxay2_yfil3f.png,good
0027,Caramel _á xay,35.000,https://res.cloudinary.com/dlux9nebf/image/upload/v1665646397/Day%20dream/daxay1_oxlrku.png,good
